Team,Year,Opp1,Opp2,Opp3,Opp4,Opp5,Opp6,Opp7,Opp8,Opp9,Opp10,Opp11,Opp12,Opp13,Opp14,Opp15,Opp16,Opp17
MIN,2024,NYG,SFO,CAR,GNB,HOU,DET,ATL,PHI,CLE,NWE,DAL,PIT,JAX,SEA,LVR,TEN,CHI
NWE,2024,CIN,KAN,PIT,HOU,BUF,NYJ,DAL,IND,SFO,NYG,MIA,LAR,SEA,JAX,WAS,DET,PHI
NOR,2024,CAR,ATL,NYG,TEN,DAL,TAM,CHI,PHI,SEA,BAL,NWE,LAR,CLE,MIN,BUF,LAC,NYJ
NYG,2024,MIN,PHI,WAS,DAL,SFO,CIN,CHI,TEN,LAR,NWE,SEA,HOU,BAL,JAX,MIA,DET,CAR
NYJ,2024,NWE,TEN,BUF,IND,HOU,KAN,LVR,DEN,SFO,DAL,ARI,SEA,PIT,MIN,GNB,CLE,PHI
PHI,2024,GNB,ATL,NOR,TAM,SEA,DAL,PIT,NYG,HOU,BUF,JAX,DET,MIA,SFO,NYJ,WAS,NWE
PIT,2024,ATL,DEN,LAC,CIN,BAL,CLE,NWE,NYJ,IND,SEA,SFO,BUF,CHI,KAN,MIA,TEN,PHI
SFO,2024,NYJ,MIN,ARI,DAL,LAR,KAN,SEA,HOU,NWE,BUF,DET,BAL,MIA,PHI,GNB,TEN,WAS
SEA,2024,DEN,NYJ,BUF,SFO,ATL,CLE,NYG,LAR,MIA,PIT,PHI,TEN,BAL,ARI,DET,WAS,CAR
TAM,2024,WAS,DET,NWE,CAR,SFO,ATL,PHI,NYG,BAL,JAX,MIA,LAR,CIN,CHI,KAN,SEA,CLE
TEN,2024,CHI,NYJ,BAL,CIN,HOU,JAX,IND,PIT,DAL,BUF,SEA,PHI,ARI,KAN,CAR,MIN,WAS
WAS,2024,TAM,NYG,ATL,PIT,BAL,CLE,NWE,PHI,CAR,JAX,DAL,DET,BUF,MIA,HOU,SFO,TEN
ARI,2025,NOR,CAR,SFO,SEA,TEN,IND,GNB,DAL,SEA,SFO,JAX,TAM,LAR,HOU,ATL,CIN,LAR
ATL,2025,TAM,MIN,CAR,WAS,BUF,SFO,MIA,NWE,IND,CAR,NOR,NYJ,SEA,TAM,ARI,LAR,NOR
BAL,2025,BUF,CLE,DET,KAN,HOU,LAR,CHI,MIA,MIN,CLE,NYJ,CIN,PIT,CIN,NWE,GNB,PIT
BUF,2025,BAL,NYJ,MIA,NOR,NWE,ATL,CAR,KAN,MIA,TAM,HOU,PIT,CIN,NWE,CLE,PHI,NYJ
CAR,2025,JAX,ARI,ATL,NWE,MIA,DAL,NYJ,BUF,GNB,NOR,ATL,SFO,LAR,NOR,TAM,SEA,TAM
CHI,2025,MIN,DET,DAL,LVR,WAS,NOR,BAL,CIN,NYG,MIN,PIT,PHI,GNB,CLE,GNB,SFO,DET
CIN,2025,CLE,JAX,MIN,DEN,DET,GNB,PIT,NYJ,CHI,PIT,NWE,BAL,BUF,BAL,MIA,ARI,CLE
