Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear,Team_NextYear
C.J. Board,2019,JAX,WR,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,31.0,0.0,0.0,0.0,0.0,5.1,21.4,NYG
Johnny Holton,2019,PIT,WR,29,16,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,15.0,3.0,21.0,0.0,0.0,0.0,0.0,6.0,0.0,NYG
Jordan Matthews,2019,2TM,WR,27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,33.0,0.0,0.0,0.0,0.0,7.3,0.0,SFO
Andre Roberts,2019,BUF,WR,31,13,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,3.0,20.0,0.0,0.0,0.0,0.0,5.7,3.1,BUF
Cam Sims,2019,WAS,WR,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,27.0,0.0,0.0,0.0,0.0,4.7,86.2,WAS
Fred Brown,2019,DEN,WR,26,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,4.1,0.0,DEN
Ashton Dulin,2019,IND,WR,22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,3.7,9.4,IND
Donte Moncrief,2019,2TM,WR,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,18.0,0.0,0.0,0.0,0.0,5.8,2.9,NWE
Chris Moore,2019,BAL,WR,26,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,21.0,0.0,0.0,0.0,0.0,5.1,0.0,BAL
Stanley Morgan Jr.,2019,CIN,WR,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,18.0,0.0,0.0,0.0,0.0,4.8,0.0,CIN
Diontae Spencer,2019,DEN,WR,27,16,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,8.0,6.0,31.0,0.0,1.0,0.0,0.0,7.7,13.5,DEN
Austin Carr,2019,NOR,WR,26,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,1.9,11.7,NOR
