Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear,Team_NextYear
Isaac Nauta,2019,DET,TE,22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,0.0,0.0,0.0,0.0,3.3,1.3,DET
Dalton Schultz,2019,DAL,TE,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.6,146.5,DAL
Jordan Thomas,2019,HOU,TE,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,1.8,7.3,2TM
Levine Toilolo,2019,SFO,TE,28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,3.0,9.6,NYG
Stephen Anderson,2019,LAC,TE,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,LAC
Evan Baylis,2019,GNB,TE,26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI
Kendall Blanton,2019,LAR,TE,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,LAR
Darrell Daniels,2019,ARI,TE,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.4,23.2,ARI
Brandon Dillon,2019,MIN,TE,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,MIN
Zach Gentry,2019,PIT,TE,23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.4,0.0,PIT
Richard Rodgers,2019,PHI,TE,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,PHI
Mason Schreck,2019,CIN,TE,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN
Jace Sternberger,2019,GNB,TE,23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,GNB
Eric Tomlinson,2019,3TM,TE,27,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,0.0,2TM
Travis Kelce,2020,KAN,TE,31,15,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,145.0,105.0,1416.0,11.0,1.0,1.0,0.0,312.8,262.8,KAN
Darren Waller,2020,LVR,TE,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,107.0,1196.0,9.0,2.0,1.0,0.0,278.6,133.5,LVR
Taysom Hill,2020,NOR,TE,30,16,88.0,121.0,928.0,4.0,2.0,87.0,457.0,8.0,12.0,8.0,98.0,1.0,5.0,0.0,0.0,156.6,121.7,NOR
Robert Tonyan,2020,GNB,TE,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,52.0,586.0,11.0,0.0,0.0,0.0,176.6,50.4,GNB
Mark Andrews,2020,BAL,TE,25,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,58.0,701.0,7.0,0.0,0.0,0.0,170.1,301.1,BAL
T.J. Hockenson,2020,DET,TE,23,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,67.0,723.0,6.0,1.0,1.0,0.0,175.3,145.3,DET
Mike Gesicki,2020,MIA,TE,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,53.0,703.0,6.0,0.0,0.0,0.0,159.3,165.0,MIA
Logan Thomas,2020,WAS,TE,29,16,1.0,1.0,28.0,0.0,0.0,3.0,5.0,0.0,110.0,72.0,670.0,6.0,0.0,0.0,0.0,176.6,53.6,WAS
Rob Gronkowski,2020,TAM,TE,31,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,45.0,623.0,7.0,0.0,0.0,0.0,149.3,171.2,TAM
Jonnu Smith,2020,TEN,TE,25,15,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,65.0,41.0,448.0,8.0,0.0,0.0,0.0,140.2,67.4,NWE
Jimmy Graham,2020,CHI,TE,34,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,50.0,456.0,8.0,0.0,0.0,0.0,143.6,50.7,CHI
Hayden Hurst,2020,ATL,TE,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,56.0,571.0,6.0,0.0,0.0,0.0,149.1,64.1,ATL
Jared Cook,2020,NOR,TE,33,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,504.0,7.0,1.0,0.0,0.0,127.4,132.4,LAC
Noah Fant,2020,DEN,TE,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,62.0,673.0,3.0,0.0,1.0,0.0,149.3,159.0,DEN
Eric Ebron,2020,PIT,TE,27,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,56.0,558.0,5.0,1.0,1.0,0.0,141.8,32.5,PIT
Hunter Henry,2020,LAC,TE,26,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,60.0,613.0,4.0,0.0,0.0,0.0,145.3,164.3,NWE
Tyler Higbee,2020,LAR,TE,27,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,60.0,44.0,521.0,5.0,0.0,1.0,0.0,128.2,147.0,LAR
Dalton Schultz,2020,DAL,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,63.0,615.0,4.0,1.0,0.0,0.0,146.5,208.8,DAL
Evan Engram,2020,NYG,TE,26,16,0.0,0.0,0.0,0.0,0.0,6.0,26.0,1.0,109.0,63.0,654.0,1.0,1.0,0.0,0.0,141.0,102.5,NYG
George Kittle,2020,SFO,TE,27,8,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,63.0,48.0,634.0,2.0,0.0,0.0,0.0,125.1,198.0,SFO
Dallas Goedert,2020,PHI,TE,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,46.0,524.0,3.0,0.0,0.0,0.0,116.4,165.0,PHI
Irv Smith Jr.,2020,MIN,TE,22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,30.0,365.0,5.0,0.0,1.0,0.0,98.5,55.2,MIN
Austin Hooper,2020,CLE,TE,26,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,46.0,435.0,4.0,0.0,0.0,0.0,113.5,92.5,CLE
Dan Arnold,2020,ARI,TE,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,31.0,438.0,4.0,1.0,0.0,0.0,96.8,75.8,2TM
Darren Fells,2020,HOU,TE,34,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.0,312.0,4.0,0.0,0.0,0.0,76.2,8.3,2TM
Gerald Everett,2020,LAR,TE,26,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,62.0,41.0,417.0,1.0,1.0,0.0,0.0,92.9,117.8,SEA
Mo Alie-Cox,2020,IND,TE,27,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,31.0,394.0,2.0,1.0,0.0,0.0,80.4,79.6,IND
Jordan Akins,2020,HOU,TE,28,13,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,49.0,37.0,403.0,1.0,0.0,0.0,0.0,83.7,41.7,HOU
Richard Rodgers,2020,PHI,TE,28,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,24.0,345.0,2.0,0.0,0.0,0.0,70.5,3.1,PHI
Chris Herndon,2020,NYJ,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,31.0,287.0,3.0,2.0,0.0,0.0,73.7,14.0,MIN
Dawson Knox,2020,BUF,TE,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,288.0,3.0,2.0,0.0,0.0,66.8,164.1,BUF
Zach Ertz,2020,PHI,TE,30,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,36.0,335.0,1.0,0.0,1.0,0.0,77.5,180.7,2TM
Jack Doyle,2020,IND,TE,30,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,23.0,251.0,3.0,1.0,0.0,0.0,64.1,79.2,IND
Jacob Hollister,2020,SEA,TE,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,209.0,3.0,0.0,1.0,0.0,65.9,20.5,JAX
Cameron Brate,2020,TAM,TE,29,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,28.0,282.0,2.0,0.0,0.0,0.0,68.2,78.5,TAM
Drew Sample,2020,CIN,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40.0,349.0,1.0,1.0,0.0,0.0,78.9,19.1,CIN
Harrison Bryant,2020,CLE,TE,22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,238.0,3.0,2.0,0.0,0.0,61.8,62.3,CLE
