Name,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear
Jordan Mason,SFO,RB,25,12,0.0,0.0,0.0,0.0,0.0,153.0,789.0,3.0,14.0,11.0,91.0,0.0,1.0,0.0,0.0,115.0,
Nick Westbrook-Ikhine,TEN,WR,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,32.0,497.0,9.0,0.0,0.0,0.0,135.7,
Deebo Samuel,SFO,WR,28,15,0.0,0.0,0.0,0.0,0.0,42.0,136.0,1.0,81.0,51.0,670.0,3.0,1.0,0.0,0.0,153.6,
Jalen Tolbert,DAL,WR,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,49.0,610.0,7.0,0.0,0.0,0.0,152.0,
Alexander Mattison,LVR,RB,26,14,0.0,0.0,0.0,0.0,0.0,132.0,420.0,4.0,48.0,36.0,294.0,1.0,1.0,1.0,0.0,137.4,
Ray Davis,BUF,RB,25,17,0.0,0.0,0.0,0.0,0.0,113.0,442.0,3.0,19.0,17.0,189.0,3.0,0.0,0.0,0.0,116.1,
Joe Flacco,IND,QB,39,8,162.0,248.0,1761.0,12.0,7.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,99.0,
Jalen McMillan,TAM,WR,23,13,0.0,0.0,0.0,0.0,0.0,4.0,43.0,0.0,58.0,37.0,461.0,8.0,0.0,0.0,0.0,135.4,
Austin Ekeler,WAS,RB,29,12,0.0,0.0,0.0,0.0,0.0,77.0,367.0,4.0,41.0,35.0,366.0,0.0,0.0,0.0,0.0,132.3,
Jerome Ford,CLE,RB,25,14,0.0,0.0,0.0,0.0,0.0,104.0,565.0,3.0,43.0,37.0,225.0,0.0,0.0,0.0,0.0,134.0,
Michael Pittman Jr.,IND,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,69.0,808.0,3.0,1.0,0.0,0.0,165.8,
Mac Jones,JAX,QB,26,10,171.0,262.0,1672.0,8.0,8.0,28.0,92.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,96.1,
Gardner Minshew II,LVR,QB,28,10,203.0,306.0,2013.0,9.0,10.0,19.0,58.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,96.3,
Mason Rudolph,TEN,QB,29,8,146.0,228.0,1530.0,9.0,9.0,25.0,106.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,95.8,
Tyler Allgeier,ATL,RB,24,17,0.0,0.0,0.0,0.0,0.0,137.0,644.0,3.0,13.0,13.0,88.0,0.0,0.0,1.0,0.0,106.2,
Aidan O'Connell,LVR,QB,26,9,154.0,243.0,1612.0,8.0,4.0,21.0,30.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,93.5,
Demarcus Robinson,LAR,WR,30,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,31.0,505.0,7.0,0.0,0.0,0.0,123.5,
Adam Thielen,CAR,WR,34,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,48.0,615.0,5.0,0.0,0.0,0.0,139.5,
Jaylen Waddle,MIA,WR,26,15,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,83.0,58.0,744.0,2.0,0.0,2.0,0.0,149.6,
Travis Etienne,JAX,RB,25,15,0.0,0.0,0.0,0.0,0.0,150.0,558.0,2.0,52.0,39.0,254.0,0.0,1.0,0.0,0.0,130.2,
DeAndre Hopkins,2TM,WR,32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,610.0,5.0,0.0,0.0,0.0,147.0,
Marvin Mims,DEN,WR,22,17,0.0,0.0,0.0,0.0,0.0,13.0,42.0,0.0,52.0,39.0,503.0,6.0,0.0,0.0,0.0,129.5,
Rome Odunze,CHI,WR,22,17,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,101.0,54.0,734.0,3.0,1.0,0.0,0.0,144.9,
Wan'Dale Robinson,NYG,WR,23,17,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,140.0,93.0,699.0,3.0,0.0,0.0,0.0,182.7,
Tank Dell,HOU,WR,25,14,0.0,0.0,0.0,0.0,0.0,9.0,43.0,0.0,81.0,51.0,667.0,3.0,0.0,0.0,0.0,140.0,
Allen Lazard,NYJ,WR,29,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,530.0,6.0,0.0,0.0,0.0,126.0,
Chris Godwin,TAM,WR,28,7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,62.0,50.0,576.0,5.0,0.0,0.0,0.0,137.8,
Romeo Doubs,GNB,WR,24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,46.0,601.0,4.0,0.0,1.0,0.0,132.1,
Jaylen Warren,PIT,RB,26,15,0.0,0.0,0.0,0.0,0.0,120.0,511.0,1.0,47.0,38.0,310.0,0.0,1.0,0.0,0.0,124.1,
Ameer Abdullah,LVR,RB,31,16,0.0,0.0,0.0,0.0,0.0,66.0,311.0,2.0,47.0,40.0,261.0,3.0,1.0,0.0,0.0,125.2,
Justice Hill,BAL,RB,27,15,0.0,0.0,0.0,0.0,0.0,47.0,228.0,1.0,51.0,42.0,383.0,3.0,0.0,0.0,0.0,127.1,
David Njoku,CLE,TE,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,64.0,505.0,5.0,0.0,2.0,0.0,148.5,
Emanuel Wilson,GNB,RB,25,17,0.0,0.0,0.0,0.0,0.0,103.0,502.0,4.0,14.0,11.0,48.0,1.0,0.0,0.0,0.0,96.0,
Andrei Iosivas,CIN,WR,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,36.0,479.0,6.0,0.0,0.0,0.0,119.9,
Kyle Pitts,ATL,TE,24,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,47.0,602.0,4.0,0.0,0.0,0.0,131.2,
Tyjae Spears,TEN,RB,23,12,0.0,0.0,0.0,0.0,0.0,84.0,312.0,4.0,35.0,30.0,224.0,1.0,0.0,0.0,0.0,113.6,
Calvin Austin III,PIT,WR,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,36.0,548.0,4.0,1.0,0.0,0.0,118.8,
