,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,76,DEN,Jonah Elliss,DE,21,2025,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,31,,6.0,Utah,College Stats,ElliJo03
3,77,LVR,Delmar Glaze,OL,22,2025,0,0,1,5,5,20,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats,GlazDe00
3,78,HOU,Calen Bullock,SAF,21,2025,0,0,1,5,5,20,0,0,0,0,0,0,0,0,0,0,0,45,5,,USC,College Stats,BullCa00
3,79,IND,Matt Goncalves,OL,23,2025,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats,GoncMa00
3,80,CIN,Jermaine Burton,WR,23,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,4,107,0,,,,Alabama,College Stats,BurtJe01
3,81,SEA,Christian Haynes,OL,24,2024,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Connecticut,College Stats,HaynCh00
3,82,ARI,Tip Reiman,TE,22,2025,0,0,1,0,0,20,0,0,0,0,0,0,0,0,9,55,0,,,,Illinois,College Stats,ReimTi00
3,83,LAR,Blake Corum,RB,23,2025,0,0,0,2,2,20,0,0,0,0,0,72,306,1,8,72,0,1,,,Michigan,College Stats,CoruBl00
3,84,PIT,Roman Wilson,WR,23,2025,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,7,0,,,,Michigan,College Stats,WilsRo02
3,85,CLE,Zak Zinter,OL,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,ZintZa00
3,86,SFO,Dominick Puni,OL,24,2025,0,0,1,7,7,20,0,0,0,0,0,0,0,0,0,-3,0,,,,Kansas,College Stats,PuniDo00
3,87,DAL,Marist Liufau,LB,23,2025,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,33,,1.5,Notre Dame,College Stats,LiufMa00
3,88,GNB,MarShawn Lloyd,RB,23,2024,0,0,0,0,0,1,0,0,0,0,0,6,15,0,1,3,0,,,,USC,College Stats,LloyMa00
3,89,TAM,Tykee Smith,DB,23,2025,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,53,2,1.0,Georgia,College Stats,SmitTy05
3,90,ARI,Elijah Jones,DB,24,2025,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,College Stats,JoneEl00
3,91,GNB,Ty'Ron Hopper,LB,23,2025,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,7,,,Missouri,College Stats,HoppTy00
3,92,TAM,Jalen McMillan,WR,22,2024,0,0,0,5,5,13,0,0,0,0,0,4,43,0,37,461,8,,,,Washington,College Stats,McMiJa01
3,93,BAL,Adisa Isaac,DE,22,2024,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,Penn St.,College Stats,IsaaAd00
3,94,PHI,Jalyx Hunt,DE,23,2025,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,13,,1.5,Houston Christian,,HuntJa02
3,95,BUF,DeWayne Carter,DT,23,2024,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,11,,,Duke,College Stats,CartDe03
3,96,JAX,Jarrian Jones,DB,23,2025,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,36,1,2.0,Florida St.,College Stats,JoneJa14
3,97,CIN,McKinnley Jackson,DL,22,2024,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.0,Texas A&M,College Stats,JackMc00
3,98,PIT,Payton Wilson,LB,24,2025,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,65,1,1.0,North Carolina St.,College Stats,WilsPa00
3,99,LAR,Kamren Kinchens,SAF,21,2025,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,49,4,,Miami (FL),College Stats,KincKa00
3,100,WAS,Luke McCaffrey,WR,23,2025,0,0,0,2,2,20,0,0,0,0,0,0,0,0,22,243,1,1,,,Rice,College Stats,McCaLu00
4,101,CAR,Ja'Tavion Sanders,TE,21,2025,0,0,0,3,3,19,0,0,0,0,0,0,0,0,44,434,1,,,,Texas,College Stats,SandJa01
4,102,DEN,Troy Franklin,WR,21,2025,0,0,0,2,2,19,0,0,0,0,0,3,19,0,42,404,3,,,,Oregon,College Stats,FranTr00
4,103,NWE,Layden Robinson,OL,23,2024,0,0,1,4,4,13,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,RobiLa02
4,104,ARI,Dadrion Taylor-Demerson,DB,23,2025,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,36,1,,Texas Tech,College Stats,TaylDa02
4,105,LAC,Justin Eboigbe,DL,23,2025,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,,,Alabama,College Stats,EboiJu00
4,106,TEN,Cedric Gray,LB,21,2025,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,24,,,North Carolina,College Stats,GrayCe00
4,107,NYG,Theo Johnson,TE,23,2025,0,0,1,2,2,15,0,0,0,0,0,0,0,0,35,380,1,,,,Penn St.,College Stats,JohnTh00
4,108,MIN,Khyree Jackson,DB,25,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,JackKh00
4,109,ATL,Brandon Dorlus,DE,23,2025,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,1.5,Oregon,College Stats,DorlBr00
4,110,NWE,Javon Baker,WR,22,2024,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,12,0,,,,Central Florida,College Stats,BakeJa00
4,111,GNB,Evan Williams,DB,23,2025,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,38,2,,Oregon,College Stats,WillEv00
4,112,LVR,Decamerion Richardson,CB,23,2025,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,29,,,Mississippi St.,College Stats,RichDe01
4,113,BAL,Devontez Walker,WR,23,2025,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,81,3,2,,,North Carolina,College Stats,WalkDe01
4,114,JAX,Javon Foster,OL,24,2024,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats,FostJa01
4,115,CIN,Erick All,TE,23,2024,0,0,1,1,1,9,0,0,0,0,0,0,0,0,20,158,0,,,,Iowa,College Stats,AllxEr00
4,116,JAX,Jordan Jefferson,DT,22,2024,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,LSU,College Stats,JeffJo01
4,117,IND,Tanor Bortolini,OL,22,2025,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,BortTa00
4,118,SEA,Tyrice Knight,LB,23,2025,0,0,0,6,6,20,0,0,0,0,0,0,0,0,0,0,0,57,,1.5,Texas-El Paso,College Stats,KnigTy00
4,119,PIT,Mason McCormick,OL,24,2025,0,0,1,6,6,20,0,0,0,0,0,0,0,0,0,0,0,,,,South Dakota St.,,McCoMa00
4,120,MIA,Jaylen Wright,RB,21,2024,0,0,0,2,2,15,0,0,0,0,0,68,249,0,3,8,0,,,,Tennessee,College Stats,WrigJa04
4,121,SEA,AJ Barner,TE,22,2025,0,0,0,2,2,21,0,0,0,0,0,2,4,0,37,326,6,3,,,Michigan,College Stats,BarnAJ00
4,122,CHI,Tory Taylor,P,27,2025,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats,TaylTo01
4,123,HOU,Cade Stover,TE,24,2025,0,0,1,1,1,16,0,0,0,0,0,0,0,0,19,155,1,5,,,Ohio St.,College Stats,StovCa00
4,124,SFO,Malik Mustapha,DB,22,2024,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,32,1,,Wake Forest,College Stats,MustMa00
4,125,TAM,Bucky Irving,RB,22,2025,0,0,0,12,12,20,0,0,0,0,0,263,1296,8,61,483,1,,,,Oregon,College Stats,IrviBu00
4,126,DET,Giovanni Manu,OL,23,2025,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,British Columbia,,ManuGi00
4,127,PHI,Will Shipley,RB,22,2025,0,0,0,1,1,17,0,0,0,0,0,33,108,0,4,35,0,5,,,Clemson,College Stats,ShipWi00
4,128,BUF,Ray Davis,RB,24,2025,0,0,0,6,6,20,0,0,0,0,0,123,468,3,18,188,3,,,,Kentucky,College Stats,DaviRa04
4,129,SFO,Isaac Guerendo,RB,24,2025,0,0,0,4,4,19,0,0,0,0,0,84,420,4,15,152,0,,,,Louisville,College Stats,GuerIs00
4,130,BAL,T.J. Tampa,DB,22,2025,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,,,Iowa St.,College Stats,TampTJ00
4,131,KAN,Jared Wiley,TE,23,2024,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,7,0,,,,TCU,College Stats,WileJa00
4,132,DET,Sione Vaki,SAF,23,2025,0,0,0,1,1,17,0,0,0,0,0,6,14,0,3,37,0,9,,,Utah,College Stats,VakiSi00
4,133,KAN,Jaden Hicks,DB,22,2025,0,0,0,2,2,20,0,0,0,0,0,1,1,0,0,0,0,28,3,,Washington St.,College Stats,HickJa01
4,134,NYJ,Braelon Allen,RB,20,2025,0,0,0,3,3,20,0,0,0,0,0,106,384,3,21,165,1,1,,,Wisconsin,College Stats,AlleBr05
4,135,SFO,Jacob Cowing,WR,23,2024,0,0,0,1,1,15,0,0,0,0,0,1,7,0,4,80,0,,,,Arizona,College Stats,CowiJa00
5,136,SEA,Nehemiah Pritchett,CB,23,2025,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,10,,,Auburn,College Stats,PritNe00
5,137,LAC,Tarheeb Still,DB,22,2025,0,0,0,6,6,17,0,0,0,0,0,0,0,0,0,0,0,58,4,0.5,Maryland,College Stats,StilTa00
5,138,ARI,Xavier Thomas,DE,24,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,6,,2.5,Clemson,College Stats,ThomXa01
5,139,WAS,Jordan Magee,LB,23,2025,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,10,,,Temple,College Stats,MageJo00
5,140,LAC,Cam Hart,CB,23,2025,0,0,1,3,3,16,0,0,0,0,0,0,0,0,0,0,0,34,,0.5,Notre Dame,College Stats,HartCa00
5,141,BUF,Sedrick Van Pran-Granger,OL,22,2025,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,VanPSe00
5,142,IND,Anthony Gould,WR,23,2025,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,23,0,,,,Oregon St.,College Stats,GoulAn00
5,143,ATL,JD Bertrand,LB,24,2025,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,16,,1.0,Notre Dame,College Stats,BertJD00
5,144,CHI,Austin Booker,DL,21,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,14,,1.5,Kansas,College Stats,BookAu00
5,145,DEN,Kris Abrams-Draine,DB,22,2025,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,7,1,,Missouri,College Stats,AbraKr00
5,146,TEN,Jarvis Brownlee,DB,23,2025,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,57,1,,Louisville,College Stats,BrowJa09
5,147,DEN,Audric Estime,RB,21,2024,0,0,0,2,2,13,0,0,0,0,0,76,310,2,5,27,0,,,,Notre Dame,College Stats,EstiAu00
5,148,LVR,Tommy Eichenberg,LB,23,2025,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,,Ohio St.,College Stats,EichTo00
5,149,CIN,Josh Newton,CB,23,2025,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,31,1,,TCU,College Stats,NewtJo00
5,150,NOR,Spencer Rattler,QB,23,2025,0,0,0,2,2,10,210,347,1956,8,6,28,199,0,0,0,0,,,,South Carolina,College Stats,RattSp00
5,151,IND,Jaylon Carlies,DB,22,2024,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,24,,1.0,Missouri,College Stats,CarlJa01
5,152,PHI,Ainias Smith,WR,23,2024,0,0,0,1,1,7,0,0,0,0,0,2,6,0,7,41,1,,,,Texas A&M,College Stats,SmitAi00
5,153,JAX,Deantre Prince,CB,23,2024,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,6,,,Mississippi,College Stats,PrinDe01
5,154,LAR,Brennan Jackson,DE,23,2025,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,Washington St.,College Stats,JackBr02
5,155,PHI,Jeremiah Trotter Jr.,LB,21,2025,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,0.5,Clemson,College Stats,TrotJe01
5,156,CLE,Jamari Thrash,WR,23,2025,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,40,0,,,,Louisville,College Stats,ThraJa01
